_id,text
ObjectId("5e28fe3f9f32ef20387f42a3"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
ObjectId("5e28fe3f9f32ef20387f42a4"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
ObjectId("5e28fe3f9f32ef20387f42a5"),López Obrador pedirá a Pemex explique robo de crudo en Golfo de México https://t.co/s7dsh4fx94
ObjectId("5e28fe3f9f32ef20387f42a6"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
ObjectId("5e28fe3f9f32ef20387f42a7"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
ObjectId("5e28fe3f9f32ef20387f42a8"),RT @24_morelos: El diputado local @Emmanuel_CDMX denunció en redes sociales el robo de $80 mil pesos tras retirarlos de un banco ubicado en…
ObjectId("5e28fe3f9f32ef20387f42a9"),CDMX. AMLO ve sabotaje de la competencia en robo de combustibles https://t.co/48uV0RjJdC https://t.co/XYsb5HUOea
ObjectId("5e28fe3f9f32ef20387f42aa"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
ObjectId("5e28fe3f9f32ef20387f42ab"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
ObjectId("5e28fe3f9f32ef20387f42ac"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
ObjectId("5e28fe3f9f32ef20387f42ad"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
ObjectId("5e28fe3f9f32ef20387f42ae"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
ObjectId("5e28fe3f9f32ef20387f42af"),Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra… https://t.co/EYSUIg7prO
